,Country,Year,Month,Semana,Nombre de la campaña,Campaign Consolidated,Impresiones,impresiones max,impresiones min,impresiones avg,Importe gastado,importe max,importe min,importe avg,Fecha inicio,sem_inicio,abreviatura,Marca,Pais,num_campaign,campaign avg,venta_agrupada,venta max,venta min,venta avg,tipo,score_lineal_norm
227,BR,2022,10,2022-10-08 - 2022-10-14,IW_BR_ENGT_SEP22_Trade-strong_LOCAL,Trade Strong,1854670.0,1854670.0,924333.0,1342511.6666666667,2712.2,2712.2,221.6,1272.5866666666666,2022-10-08,202240,IW,IRWIN,Brasil,3,6.757575757575758,33784.39417120932,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,0.8633423705197854
228,BR,2022,10,2022-10-15 - 2022-10-21,ST_BR_ECOM_SUPPORT_OCT22_PT_LOCAL,Ecom,8897707.0,8897707.0,42454.0,2458748.8333333335,4632.09999994,4632.09999994,87.27,1405.053333345,2022-10-15,202241,ST,STANLEY,Brasil,6,3.2666666666666666,256525.84842973438,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.8269684381282962
229,MX,2022,10,2022-10-15 - 2022-10-21,ST_MX_ECOM_OCT22_PT_protect-the-core_LOCAL,Protect The Core,3891073.0,3891073.0,582624.0,1837468.6,2129.25000169,2129.25000169,383.45,1107.812000212,2022-10-15,202241,ST,STANLEY,Mexico,5,2.2,276626.0856100686,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.530202519621814
230,BR,2022,11,2022-11-05 - 2022-11-11,BD_BR_ECOM_NOV22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,2871655.0,2871655.0,4900.0,788412.3333333334,3961.48,3961.48,0.50997934,1097.40832989,2022-11-05,202244,BD,BLACK+DECKER,Brasil,6,3.9473684210526314,324728.106069219,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.7458134895853203
231,MX,2022,11,2022-11-05 - 2022-11-11,BD_MX_ECOM_NOV22_PT_RENUEVA-TU-HOGAR_REG,Renueva tu hogar,5852308.0,5852308.0,150120.0,1713294.0,3155.75,3155.75,117.08,1003.2574999999999,2022-11-05,202244,BD,BLACK+DECKER,Mexico,4,1.8888888888888888,313346.4963748487,20352.430516034223,-287.89129936182144,119.08885824032664,top_men,1.4959991157102803
232,BR,2022,11,2022-11-26 - 2022-12-02,DW_BR_CONV_GrowTheCore-2,Grow The Core,5225058.0,5225058.0,61102.0,1588503.3333333333,2639.5,2639.5,54.19,1028.3383333333334,2022-11-26,202247,DW,DEWALT,Brasil,6,4.125,862469.8545999903,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.6377651414113386
233,MX,2022,11,2022-11-26 - 2022-12-02,DW_MX_AWR_NOV22_CONCURSO-CORDLESS_LOC,Cordless DW,5732715.0,5732715.0,325036.0,1913276.1666666667,1989.18,1989.18,493.95,949.1233333333333,2022-11-26,202247,DW,DEWALT,Mexico,6,5.111111111111111,1821904.2007196534,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.8631690397377907
234,BR,2022,11,2022-11-05 - 2022-11-11,IW_BR_ECOM_OCT22_Trade-strong_LOCAL,Trade Strong,3115154.0,3115154.0,678128.0,1896641.0,2205.29,2205.29,130.29,1167.79,2022-11-05,202244,IW,IRWIN,Brasil,2,5.615384615384615,26841.72768242002,20352.430516034223,-287.89129936182144,119.08885824032664,top_men,0.6118376618407357
235,BR,2022,11,2022-11-12 - 2022-11-18,ST_BR_ECOM_SUPPORT_OCT22_PT_LOCAL,Ecom,5897520.0,5897520.0,73678.0,1693142.8,2799.0,2799.0,43.86,745.701999876,2022-11-12,202245,ST,STANLEY,Brasil,5,5.615384615384615,295028.8595510152,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.5792635258066592
236,MX,2022,11,2022-11-12 - 2022-11-18,ST_MX_ECOM_OCT22_PT_V20_REG,v20,3610809.0,3610809.0,694440.0,1737051.25,1486.15,1486.15,356.86000168,824.73000042,2022-11-12,202245,ST,STANLEY,Mexico,4,1.0,301905.6300110404,70784.82094115416,-885.5796751917983,283.9040953202523,top_men,1.5823906821145528
